player_name,raid_name,boss_name,raid_difficulty,total_pulls
purovolitis,liberation of undermine,chrome king gallywix,heroic,2
dibby,liberation of undermine,rik reverb,mythic,9
jumzo,liberation of undermine,stix bunkjunker,mythic,96
explorer,liberation of undermine,chrome king gallywix,heroic,46
iustitiæ,liberation of undermine,"mug'zee, heads of security",mythic,112
bpd,liberation of undermine,sprocketmonger lockenstock,mythic,161
explorer,liberation of undermine,"mug'zee, heads of security",heroic,42
enjiie,liberation of undermine,cauldron of carnage,heroic,3
таристаз,liberation of undermine,one-armed bandit,heroic,2
snorrelax,liberation of undermine,"mug'zee, heads of security",heroic,1
henle,liberation of undermine,vexie and the geargrinders,heroic,1
ashyminge,liberation of undermine,cauldron of carnage,heroic,3
magicwingers,liberation of undermine,sprocketmonger lockenstock,heroic,6
furioshar,liberation of undermine,chrome king gallywix,heroic,2
rizzleton,liberation of undermine,rik reverb,mythic,57
aenry,liberation of undermine,vexie and the geargrinders,heroic,2
rzoc,liberation of undermine,one-armed bandit,heroic,1
apocryphâ,liberation of undermine,chrome king gallywix,heroic,1
parababasii,liberation of undermine,"mug'zee, heads of security",heroic,1
krepowl,liberation of undermine,vexie and the geargrinders,mythic,3
aenry,liberation of undermine,vexie and the geargrinders,mythic,2
periodpain,liberation of undermine,chrome king gallywix,heroic,3
unrecorded,liberation of undermine,"mug'zee, heads of security",mythic,342
naomivoke,liberation of undermine,one-armed bandit,heroic,4
aivfive,liberation of undermine,"mug'zee, heads of security",heroic,2
smonkste,liberation of undermine,rik reverb,heroic,2
fawvkes,liberation of undermine,"mug'zee, heads of security",mythic,6
pattern,liberation of undermine,chrome king gallywix,heroic,4
yaavi,liberation of undermine,cauldron of carnage,mythic,1
bergmanlover,liberation of undermine,one-armed bandit,heroic,1
hungbelf,liberation of undermine,rik reverb,heroic,1
shadowxmorn,liberation of undermine,"mug'zee, heads of security",heroic,1
budgetgoku,liberation of undermine,cauldron of carnage,mythic,37
gnomerouge,liberation of undermine,chrome king gallywix,heroic,1
enjiie,liberation of undermine,sprocketmonger lockenstock,mythic,245
wanchan,liberation of undermine,one-armed bandit,heroic,28
lenus,liberation of undermine,one-armed bandit,mythic,38
inago,liberation of undermine,"mug'zee, heads of security",mythic,54
explorer,liberation of undermine,sprocketmonger lockenstock,heroic,6
yeviel,liberation of undermine,cauldron of carnage,mythic,16
yashopal,liberation of undermine,rik reverb,heroic,1
periodpain,liberation of undermine,"mug'zee, heads of security",heroic,1
iustitiæ,liberation of undermine,chrome king gallywix,heroic,44
kevi,liberation of undermine,vexie and the geargrinders,heroic,4
karthos,liberation of undermine,"mug'zee, heads of security",mythic,54
