report_id,report_date,pull_number,killer_id,killing_ability_game_id,source_id,boss_difficulty,boss_name,start_time,end_time,player_name,death_timestamp,death_window,player_class,next_death_ts_1,next_death_ts_2,next_death_ts_3
BfWcKMdxybL1j9P7,2025-06-09 Mon,50,74,469062,-1,mythic,"mug'zee, heads of security",9904211,10185448,budgetgoku,10054213,0,paladin,10054213,10057546,10057546
BfWcKMdxybL1j9P7,2025-06-09 Mon,50,74,469062,-1,mythic,"mug'zee, heads of security",9904211,10185448,budgetgoku,10054213,0,paladin,10057546,10057546,10060611
jmpyLVFaKX8qvZD7,2025-06-11 Wed,51,85,468665,-1,mythic,"mug'zee, heads of security",7850516,8133398,koriekin,8094064,19514,druid,8094957,8103940,8105448
jmpyLVFaKX8qvZD7,2025-06-11 Wed,52,85,1216143,-1,mythic,"mug'zee, heads of security",8425237,8493260,koriekin,8490190,0,druid,8490192,8490194,8490215
BfWcKMdxybL1j9P7,2025-06-09 Mon,53,4,1220769,-1,mythic,"mug'zee, heads of security",10597162,10816961,pattern,10794832,0,warlock,10794832,10800746,10800746
BfWcKMdxybL1j9P7,2025-06-09 Mon,53,4,1220769,-1,mythic,"mug'zee, heads of security",10597162,10816961,pattern,10794832,0,warlock,10800746,10800746,10801657
jmpyLVFaKX8qvZD7,2025-06-11 Wed,54,96,469061,-1,mythic,"mug'zee, heads of security",8678255,8868067,jumzo,8826996,0,paladin,8833158,8835219,8837935
BfWcKMdxybL1j9P7,2025-06-09 Mon,55,74,469061,-1,mythic,"mug'zee, heads of security",10917575,11076709,jumzo,11057706,0,paladin,11057706,11060584,11060584
BfWcKMdxybL1j9P7,2025-06-09 Mon,55,74,469061,-1,mythic,"mug'zee, heads of security",10917575,11076709,jumzo,11057706,0,paladin,11060584,11060584,11060585
jmpyLVFaKX8qvZD7,2025-06-11 Wed,56,85,1218182,-1,mythic,"mug'zee, heads of security",8992446,9276693,televisions,9213962,499,priest,9215023,9228502,9228590
jmpyLVFaKX8qvZD7,2025-06-11 Wed,57,94,1214991,-1,mythic,"mug'zee, heads of security",9511420,9795502,wanchan,9765301,84690,mage,9768065,9770631,9770924
BfWcKMdxybL1j9P7,2025-06-09 Mon,58,4,469719,-1,mythic,"mug'zee, heads of security",11566025,11837989,explorer,11775574,74020,paladin,11775574,11789457,11789457
BfWcKMdxybL1j9P7,2025-06-09 Mon,58,4,469719,-1,mythic,"mug'zee, heads of security",11566025,11837989,explorer,11775574,74020,paladin,11789457,11789457,11789733
jmpyLVFaKX8qvZD7,2025-06-11 Wed,59,85,472057,-1,mythic,"mug'zee, heads of security",9912235,10041297,mægisk,10025888,17088,rogue,10032706,10036874,10036876
jmpyLVFaKX8qvZD7,2025-06-11 Wed,60,85,466480,-1,mythic,"mug'zee, heads of security",10147120,10274462,cutefist,10252953,0,monk,10262746,10264737,10272671
jmpyLVFaKX8qvZD7,2025-06-11 Wed,62,22,424564,-1,mythic,"mug'zee, heads of security",10368811,10622699,mægisk,10567518,0,rogue,10574766,10576958,10577543
jmpyLVFaKX8qvZD7,2025-06-11 Wed,64,96,469061,-1,mythic,"mug'zee, heads of security",10741234,10906125,cutefist,10883446,0,monk,10887867,10897517,10897519
jmpyLVFaKX8qvZD7,2025-06-11 Wed,66,85,1218432,-1,mythic,"mug'zee, heads of security",11052433,11192787,rizzleton,11178558,5068,shaman,11178673,11180872,11180919
jmpyLVFaKX8qvZD7,2025-06-11 Wed,67,96,1221224,-1,mythic,"mug'zee, heads of security",11293597,11352278,yearning,11316130,226,monk,11316182,11331514,11331516
jmpyLVFaKX8qvZD7,2025-06-11 Wed,68,96,469061,-1,mythic,"mug'zee, heads of security",11416377,11604201,budgetgoku,11570601,0,paladin,11574227,11575074,11575076
jmpyLVFaKX8qvZD7,2025-06-11 Wed,69,85,1216143,-1,mythic,"mug'zee, heads of security",11653940,11726555,koriekin,11718677,0,druid,11718678,11718679,11718682
